id	mother	father	year	rep	scheme
40008	18482	11763	41	1	PedigreSelection
35591	11979	18482	41	1	PedigreSelection
52950	36015	42544	41	1	PedigreSelection
48137	33926	30234	41	1	PedigreSelection
49441	34023	40008	41	1	PedigreSelection
49651	40008	38601	41	1	PedigreSelection
44374	34023	30234	41	1	PedigreSelection
50644	36015	29645	41	1	PedigreSelection
38548	28321	27772	41	1	PedigreSelection
47607	34023	31867	41	1	PedigreSelection
11	0	0	41	1	PedigreSelection
50414	34023	29645	41	1	PedigreSelection
44386	34023	30234	41	1	PedigreSelection
47596	34023	31867	41	1	PedigreSelection
19	0	0	41	1	PedigreSelection
54243	44576	36015	41	1	PedigreSelection
52679	38548	40001	41	1	PedigreSelection
48421	34023	27302	41	1	PedigreSelection
34023	14647	4903	41	1	PedigreSelection
33491	8928	23706	41	1	PedigreSelection
30234	11	14647	41	1	PedigreSelection
49959	30046	38436	41	1	PedigreSelection
33926	12511	4903	41	1	PedigreSelection
35893	13740	11763	41	1	PedigreSelection
54671	35893	37341	41	1	PedigreSelection
13	0	0	41	1	PedigreSelection
47361	33926	25454	41	1	PedigreSelection
54545	44374	39535	41	1	PedigreSelection
48884	30046	37998	41	1	PedigreSelection
44576	25074	34774	41	1	PedigreSelection
48884	30046	37998	42	1	PedigreSelection
48421	34023	27302	42	1	PedigreSelection
47596	34023	31867	42	1	PedigreSelection
52950	36015	42544	42	1	PedigreSelection
44576	25074	34774	42	1	PedigreSelection
47361	33926	25454	42	1	PedigreSelection
49651	40008	38601	42	1	PedigreSelection
49441	34023	40008	42	1	PedigreSelection
34023	14647	4903	42	1	PedigreSelection
44374	34023	30234	42	1	PedigreSelection
48137	33926	30234	42	1	PedigreSelection
44386	34023	30234	42	1	PedigreSelection
33926	12511	4903	42	1	PedigreSelection
50414	34023	29645	42	1	PedigreSelection
54243	44576	36015	42	1	PedigreSelection
49959	30046	38436	42	1	PedigreSelection
55776	40008	41854	42	1	PedigreSelection
30234	11	14647	42	1	PedigreSelection
47607	34023	31867	42	1	PedigreSelection
55470	19	36015	42	1	PedigreSelection
55780	40008	41854	42	1	PedigreSelection
40008	18482	11763	42	1	PedigreSelection
38548	28321	27772	42	1	PedigreSelection
35893	13740	11763	42	1	PedigreSelection
52679	38548	40001	42	1	PedigreSelection
50644	36015	29645	42	1	PedigreSelection
13	0	0	42	1	PedigreSelection
35591	11979	18482	42	1	PedigreSelection
11	0	0	42	1	PedigreSelection
33491	8928	23706	42	1	PedigreSelection
50644	36015	29645	43	1	PedigreSelection
40008	18482	11763	43	1	PedigreSelection
55470	19	36015	43	1	PedigreSelection
52950	36015	42544	43	1	PedigreSelection
56919	36015	38601	43	1	PedigreSelection
55776	40008	41854	43	1	PedigreSelection
49651	40008	38601	43	1	PedigreSelection
49441	34023	40008	43	1	PedigreSelection
35893	13740	11763	43	1	PedigreSelection
55780	40008	41854	43	1	PedigreSelection
38548	28321	27772	43	1	PedigreSelection
50414	34023	29645	43	1	PedigreSelection
54243	44576	36015	43	1	PedigreSelection
35591	11979	18482	43	1	PedigreSelection
52679	38548	40001	43	1	PedigreSelection
48421	34023	27302	43	1	PedigreSelection
47607	34023	31867	43	1	PedigreSelection
44374	34023	30234	43	1	PedigreSelection
34023	14647	4903	43	1	PedigreSelection
33491	8928	23706	43	1	PedigreSelection
56197	44576	35893	43	1	PedigreSelection
44386	34023	30234	43	1	PedigreSelection
11	0	0	43	1	PedigreSelection
47361	33926	25454	43	1	PedigreSelection
49959	30046	38436	43	1	PedigreSelection
48137	33926	30234	43	1	PedigreSelection
56222	44576	45578	43	1	PedigreSelection
13	0	0	43	1	PedigreSelection
47596	34023	31867	43	1	PedigreSelection
30234	11	14647	43	1	PedigreSelection
55776	40008	41854	44	1	PedigreSelection
52950	36015	42544	44	1	PedigreSelection
57849	38548	40008	44	1	PedigreSelection
40008	18482	11763	44	1	PedigreSelection
55780	40008	41854	44	1	PedigreSelection
57913	36015	38601	44	1	PedigreSelection
49441	34023	40008	44	1	PedigreSelection
57897	36015	45578	44	1	PedigreSelection
50414	34023	29645	44	1	PedigreSelection
44374	34023	30234	44	1	PedigreSelection
54243	44576	36015	44	1	PedigreSelection
49651	40008	38601	44	1	PedigreSelection
56919	36015	38601	44	1	PedigreSelection
56197	44576	35893	44	1	PedigreSelection
52679	38548	40001	44	1	PedigreSelection
