id	mother	father	year	rep	scheme
52950	36015	42544	41	1	GS
52679	38548	40001	41	1	GS
54671	35893	37341	41	1	GS
40008	18482	11763	41	1	GS
35893	13740	11763	41	1	GS
54243	44576	36015	41	1	GS
35591	11979	18482	41	1	GS
38548	28321	27772	41	1	GS
54545	44374	39535	41	1	GS
49651	40008	38601	41	1	GS
49441	34023	40008	41	1	GS
50644	36015	29645	41	1	GS
50414	34023	29645	41	1	GS
44374	34023	30234	41	1	GS
34023	14647	4903	41	1	GS
44386	34023	30234	41	1	GS
47607	34023	31867	41	1	GS
30234	11	14647	41	1	GS
48421	34023	27302	41	1	GS
47361	33926	25454	41	1	GS
47596	34023	31867	41	1	GS
19	0	0	41	1	GS
49959	30046	38436	41	1	GS
41629	31867	27772	41	1	GS
48137	33926	30234	41	1	GS
33491	8928	23706	41	1	GS
48884	30046	37998	41	1	GS
33926	12511	4903	41	1	GS
44576	25074	34774	41	1	GS
11	0	0	41	1	GS
52950	36015	42544	42	1	GS
55678	35893	38548	42	1	GS
52679	38548	40001	42	1	GS
55805	40008	37341	42	1	GS
35893	13740	11763	42	1	GS
55776	40008	41854	42	1	GS
54671	35893	37341	42	1	GS
35591	11979	18482	42	1	GS
54243	44576	36015	42	1	GS
40008	18482	11763	42	1	GS
49441	34023	40008	42	1	GS
38548	28321	27772	42	1	GS
49651	40008	38601	42	1	GS
54545	44374	39535	42	1	GS
44374	34023	30234	42	1	GS
44386	34023	30234	42	1	GS
47607	34023	31867	42	1	GS
34023	14647	4903	42	1	GS
47361	33926	25454	42	1	GS
50644	36015	29645	42	1	GS
50414	34023	29645	42	1	GS
47596	34023	31867	42	1	GS
19	0	0	42	1	GS
30234	11	14647	42	1	GS
49959	30046	38436	42	1	GS
48421	34023	27302	42	1	GS
48137	33926	30234	42	1	GS
41629	31867	27772	42	1	GS
33926	12511	4903	42	1	GS
33491	8928	23706	42	1	GS
52950	36015	42544	43	1	GS
56742	40008	36015	43	1	GS
56919	36015	38601	43	1	GS
55678	35893	38548	43	1	GS
55776	40008	41854	43	1	GS
55805	40008	37341	43	1	GS
35893	13740	11763	43	1	GS
52679	38548	40001	43	1	GS
56678	35591	46565	43	1	GS
40008	18482	11763	43	1	GS
35591	11979	18482	43	1	GS
54671	35893	37341	43	1	GS
54243	44576	36015	43	1	GS
49651	40008	38601	43	1	GS
38548	28321	27772	43	1	GS
50644	36015	29645	43	1	GS
49441	34023	40008	43	1	GS
54545	44374	39535	43	1	GS
19	0	0	43	1	GS
33491	8928	23706	43	1	GS
47361	33926	25454	43	1	GS
49959	30046	38436	43	1	GS
34023	14647	4903	43	1	GS
44374	34023	30234	43	1	GS
44386	34023	30234	43	1	GS
41629	31867	27772	43	1	GS
50414	34023	29645	43	1	GS
47607	34023	31867	43	1	GS
48421	34023	27302	43	1	GS
48137	33926	30234	43	1	GS
57877	40008	40001	44	1	GS
56919	36015	38601	44	1	GS
57897	36015	45578	44	1	GS
56742	40008	36015	44	1	GS
55776	40008	41854	44	1	GS
55678	35893	38548	44	1	GS
35893	13740	11763	44	1	GS
57833	38548	40008	44	1	GS
52950	36015	42544	44	1	GS
55805	40008	37341	44	1	GS
56678	35591	46565	44	1	GS
40008	18482	11763	44	1	GS
49651	40008	38601	44	1	GS
52679	38548	40001	44	1	GS
54243	44576	36015	44	1	GS
54671	35893	37341	44	1	GS
35591	11979	18482	44	1	GS
38548	28321	27772	44	1	GS
50644	36015	29645	44	1	GS
49441	34023	40008	44	1	GS
33491	8928	23706	44	1	GS
49959	30046	38436	44	1	GS
54545	44374	39535	44	1	GS
41629	31867	27772	44	1	GS
19	0	0	44	1	GS
34023	14647	4903	44	1	GS
44374	34023	30234	44	1	GS
48421	34023	27302	44	1	GS
47361	33926	25454	44	1	GS
44386	34023	30234	44	1	GS
57877	40008	40001	45	1	GS
57897	36015	45578	45	1	GS
56919	36015	38601	45	1	GS
56742	40008	36015	45	1	GS
57833	38548	40008	45	1	GS
55678	35893	38548	45	1	GS
35893	13740	11763	45	1	GS
55776	40008	41854	45	1	GS
52950	36015	42544	45	1	GS
58937	40008	45578	45	1	GS
55805	40008	37341	45	1	GS
58943	40008	45578	45	1	GS
40008	18482	11763	45	1	GS
54243	44576	36015	45	1	GS
56678	35591	46565	45	1	GS
58795	35591	45578	45	1	GS
52679	38548	40001	45	1	GS
49651	40008	38601	45	1	GS
54671	35893	37341	45	1	GS
35591	11979	18482	45	1	GS
38548	28321	27772	45	1	GS
49441	34023	40008	45	1	GS
50644	36015	29645	45	1	GS
33491	8928	23706	45	1	GS
49959	30046	38436	45	1	GS
54545	44374	39535	45	1	GS
41629	31867	27772	45	1	GS
48421	34023	27302	45	1	GS
19	0	0	45	1	GS
44374	34023	30234	45	1	GS
57877	40008	40001	46	1	GS
57897	36015	45578	46	1	GS
56919	36015	38601	46	1	GS
55678	35893	38548	46	1	GS
55776	40008	41854	46	1	GS
57833	38548	40008	46	1	GS
52950	36015	42544	46	1	GS
59903	35893	49959	46	1	GS
58937	40008	45578	46	1	GS
35893	13740	11763	46	1	GS
59900	35893	49959	46	1	GS
55805	40008	37341	46	1	GS
58943	40008	45578	46	1	GS
56742	40008	36015	46	1	GS
59901	35893	49959	46	1	GS
40008	18482	11763	46	1	GS
58795	35591	45578	46	1	GS
56678	35591	46565	46	1	GS
52679	38548	40001	46	1	GS
54243	44576	36015	46	1	GS
35591	11979	18482	46	1	GS
38548	28321	27772	46	1	GS
54671	35893	37341	46	1	GS
49651	40008	38601	46	1	GS
49959	30046	38436	46	1	GS
50644	36015	29645	46	1	GS
33491	8928	23706	46	1	GS
49441	34023	40008	46	1	GS
48421	34023	27302	46	1	GS
54545	44374	39535	46	1	GS
57877	40008	40001	47	1	GS
60844	47607	36015	47	1	GS
57897	36015	45578	47	1	GS
60834	47607	36015	47	1	GS
56919	36015	38601	47	1	GS
60659	49441	35893	47	1	GS
52950	36015	42544	47	1	GS
58943	40008	45578	47	1	GS
58937	40008	45578	47	1	GS
57833	38548	40008	47	1	GS
40008	18482	11763	47	1	GS
55776	40008	41854	47	1	GS
56742	40008	36015	47	1	GS
58795	35591	45578	47	1	GS
59901	35893	49959	47	1	GS
59900	35893	49959	47	1	GS
59903	35893	49959	47	1	GS
35893	13740	11763	47	1	GS
55678	35893	38548	47	1	GS
54243	44576	36015	47	1	GS
52679	38548	40001	47	1	GS
56678	35591	46565	47	1	GS
49651	40008	38601	47	1	GS
55805	40008	37341	47	1	GS
33491	8928	23706	47	1	GS
38548	28321	27772	47	1	GS
50644	36015	29645	47	1	GS
49441	34023	40008	47	1	GS
35591	11979	18482	47	1	GS
54671	35893	37341	47	1	GS
57877	40008	40001	48	1	GS
52950	36015	42544	48	1	GS
60834	47607	36015	48	1	GS
60844	47607	36015	48	1	GS
61782	49441	40008	48	1	GS
58943	40008	45578	48	1	GS
56742	40008	36015	48	1	GS
60659	49441	35893	48	1	GS
57897	36015	45578	48	1	GS
55776	40008	41854	48	1	GS
62026	44386	36015	48	1	GS
61774	49441	40008	48	1	GS
40008	18482	11763	48	1	GS
56919	36015	38601	48	1	GS
50644	36015	29645	48	1	GS
58795	35591	45578	48	1	GS
58937	40008	45578	48	1	GS
59903	35893	49959	48	1	GS
59900	35893	49959	48	1	GS
59901	35893	49959	48	1	GS
54243	44576	36015	48	1	GS
35893	13740	11763	48	1	GS
56678	35591	46565	48	1	GS
57833	38548	40008	48	1	GS
33491	8928	23706	48	1	GS
55805	40008	37341	48	1	GS
52679	38548	40001	48	1	GS
49651	40008	38601	48	1	GS
54671	35893	37341	48	1	GS
35591	11979	18482	48	1	GS
62249	52950	49959	49	1	GS
52950	36015	42544	49	1	GS
58943	40008	45578	49	1	GS
62796	49441	35893	49	1	GS
61782	49441	40008	49	1	GS
58795	35591	45578	49	1	GS
60834	47607	36015	49	1	GS
40008	18482	11763	49	1	GS
61774	49441	40008	49	1	GS
60844	47607	36015	49	1	GS
58937	40008	45578	49	1	GS
57897	36015	45578	49	1	GS
59903	35893	49959	49	1	GS
62026	44386	36015	49	1	GS
50644	36015	29645	49	1	GS
59900	35893	49959	49	1	GS
54243	44576	36015	49	1	GS
60659	49441	35893	49	1	GS
62813	35591	52679	49	1	GS
59901	35893	49959	49	1	GS
56742	40008	36015	49	1	GS
