year	rep	scenario	meanG	varG	accSel
1	1	Burn_in	2584.74639031329	161198.41601842	0.46468575217046
2	1	Burn_in	2578.31610414265	104152.211789282	0.441074338254412
3	1	Burn_in	2759.94555360847	179154.742323624	0.37708497452979
4	1	Burn_in	2923.39503210644	195881.206066808	0.341340512291587
5	1	Burn_in	2778.53728495635	179283.218857992	0.135908927452627
6	1	Burn_in	2915.20260131106	170118.212703959	0.469499863931402
7	1	Burn_in	3014.74305702371	170468.508149946	0.328354579384819
8	1	Burn_in	3034.32910982688	162992.404722675	0.402519786699775
9	1	Burn_in	3119.27619178764	126446.419692333	0.202582940965636
10	1	Burn_in	3074.70888718118	134426.896024837	0.150477343258832
11	1	Burn_in	3151.01334352476	146711.978586174	0.491480517089287
12	1	Burn_in	3129.48453811551	139659.849254987	0.342026030227257
13	1	Burn_in	3195.21020155983	155807.78243024	0.456420704161527
14	1	Burn_in	3339.06221996789	119602.277609192	0.455917793840086
15	1	Burn_in	3472.04154069723	126511.103858693	0.292636194038665
16	1	Burn_in	3387.86924309331	118057.053281047	0.359146582540566
17	1	Burn_in	3540.70673211773	115562.547634164	0.387532388813731
18	1	Burn_in	3538.65279654969	103420.271110752	0.573255916413404
19	1	Burn_in	3605.73860163728	90686.091426093	0.377940767790304
20	1	Burn_in	3566.21756256045	99481.7037732456	0.275984511337675
21	1	Burn_in	3720.43827772614	103353.084428336	0.327266879596286
22	1	Burn_in	3732.0529108102	94436.0544793031	0.3967904651275
23	1	Burn_in	3749.19500123956	121318.005475508	0.19812894565833
24	1	Burn_in	3747.0502978953	106943.818835775	0.359433253526811
25	1	Burn_in	3790.18066075808	91524.4217552964	0.400046602745007
26	1	Burn_in	3840.0952100602	102226.403801914	0.46107798730776
27	1	Burn_in	3886.60806061107	85243.3833523183	0.394752381808839
28	1	Burn_in	3957.52562662022	108616.072045092	0.229186011065235
29	1	Burn_in	3942.42416652839	92326.8712416559	0.451142168281853
30	1	Burn_in	4056.33158012974	107464.916950351	0.295861005138892
31	1	Burn_in	4108.46829081627	135385.361294108	0.354637909809096
32	1	Burn_in	4126.88742328316	91681.6139758031	0.261670750817634
33	1	Burn_in	4080.64067229066	110967.621296753	0.421706842518267
34	1	Burn_in	4164.4172855315	105274.139118848	0.337633960754671
35	1	Burn_in	4223.99731601955	68688.224243715	0.375657570492104
