Stage	meanG_Burnin40	varG_Burnin40	HHI_Burnin40	meanG_GS41	varG_GS41	HHI_GS41	meanG_GS42	varG_GS42	HHI_GS42	meanG_GS43	varG_GS43	HHI_GS43
ACT1	4496.40971322018	89903.9990353211	0.0698220183486239	4614.01364575	76891.79242625	0.1242	4645.470231125	71545.5946025	0.14955	4678.529554875	83526.19207375	0.119625
ACT2	4445.52097412844	80995.7245177064	0.0555871559633027	4495.23782375	89027.277785	0.06905	4614.01364575	76891.79242625	0.1242	4645.470231125	71545.5946025	0.14955
ACT3	4441.45605002752	89046.8569681651	0.0611174311926606	4445.1237645	80659.21267625	0.0555	4495.23782375	89027.277785	0.06905	4614.01364575	76891.79242625	0.1242
ECT1	4716.78638591743	62041.7438326606	0.215596330376147	4740.5418245	30420.151332375	0.256944444375	4828.294325	43529.262603	0.236111111125	4864.984793	24522.238801625	0.2430555555
ECT2	4607.17041318349	77369.3607495413	0.216615698486239	4715.07426525	61952.301725	0.215277777875	4740.5418245	30420.151332375	0.256944444375	4828.294325	43529.262603	0.236111111125
ECT3	4632.34888919266	53930.0370049541	0.194699286623853	4607.609718125	74836.8494725	0.215277778	4715.07426525	61952.301725	0.215277777875	4740.5418245	30420.151332375	0.256944444375
F1	4524.47820630275	108127.616615138	0.0400750550458716	4542.75098975	107081.9076425	0.0395539375	4601.462264875	107447.7374875	0.040517125	4615.642811	111458.9221475	0.04081525
HPT1	4417.85464989908	113812.046811468	0.0392877889908257	4469.46417325	110977.70464875	0.0397961875	4522.121261875	107771.2960875	0.0400376875	4542.75098975	107081.9076425	0.0395539375
HPT2	4369.52573154128	111334.577365872	0.040541376146789	4416.231809625	112905.083425	0.0392605	4469.46417325	110977.70464875	0.0397961875	4522.121261875	107771.2960875	0.0400376875
HPT3	4332.44992370642	110340.569065321	0.0410231743119266	4367.43215175	110796.2078125	0.040574625	4416.231809625	112905.083425	0.0392605	4469.46417325	110977.70464875	0.0397961875
HPT4	4303.43808233028	114327.978729541	0.0397555321100917	4331.03279	109679.46573375	0.041001125	4367.43215175	110796.2078125	0.040574625	4416.231809625	112905.083425	0.0392605
Parents	4511.68560444037	72655.9893094495	0.0464984709724771	4553.61253525	72246.85826125	0.0470833335	4594.1179555	70370.3470675	0.0493055555	4630.6501815	73585.647325	0.05354166675
Seedlings	4471.70748627523	111775.545586422	0.0398068990825688	4522.121261875	107771.2960875	0.0400376875	4542.75098975	107081.9076425	0.0395539375	4601.462264875	107447.7374875	0.040517125
