Stage	meanG_Burnin40	varG_Burnin40	HHI_Burnin40	meanG_PedigreSelection41	varG_PedigreSelection41	HHI_PedigreSelection41	meanG_PedigreSelection42	varG_PedigreSelection42	HHI_PedigreSelection42	meanG_PedigreSelection43	varG_PedigreSelection43	HHI_PedigreSelection43
ACT1	4233.48993384801	106469.465363351	0.103172	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACT2	4189.12939695649	118333.02981824	0.109516	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACT3	4192.80407424365	120020.16048263	0.102964	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECT1	4454.02645803904	45151.8288640318	0.273333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECT2	4480.25793728084	47473.2564645779	0.268888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECT3	4439.61392546404	57782.362103709	0.261111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1	4045.39729893684	200044.280433627	0.0619062711679928	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPT1	3979.55992465706	200007.712400736	0.0618722938922576	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPT2	3946.49307065172	211866.087605734	0.062211157662487	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPT3	3909.61739546402	204938.402122576	0.062960048545816	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPT4	3872.56254877152	206204.558895946	0.0626115198943761	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parents	4074.22011096688	276201.427839983	0.065425	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seedlings	4019.50702659853	199924.087937989	0.0623434625352744	NA	NA	NA	NA	NA	NA	NA	NA	NA
