Stage	meanG_Burnin40	varG_Burnin40	HHI_Burnin40	meanG_Pheno41	varG_Pheno41	HHI_Pheno41	meanG_Pheno42	varG_Pheno42	HHI_Pheno42	meanG_Pheno43	varG_Pheno43	HHI_Pheno43
ACT1	4233.48993384801	106469.465363351	0.103172	4270.42238280028	111166.538820389	0.10224	4311.68399974053	113663.165060356	0.108232	4352.70437397633	113616.444941627	0.106216
ACT2	4189.12939695649	118333.02981824	0.109516	4233.48993384801	106469.465363351	0.103172	4270.42238280028	111166.538820389	0.10224	4311.68399974053	113663.165060356	0.108232
ACT3	4192.80407424365	120020.16048263	0.102964	4189.12939695649	118333.02981824	0.109516	4233.48993384801	106469.465363351	0.103172	4270.42238280028	111166.538820389	0.10224
ECT1	4454.02645803904	45151.8288640318	0.273333333333333	4479.6511678666	62766.9974242397	0.244444444444445	4502.99130073821	52577.4227305122	0.248888888888889	4498.86767046209	37378.2158597004	0.253333333333333
ECT2	4480.25793728084	47473.2564645779	0.268888888888889	4454.02645803904	45151.8288640318	0.273333333333333	4479.6511678666	62766.9974242397	0.244444444444445	4502.99130073821	52577.4227305122	0.248888888888889
ECT3	4439.61392546404	57782.362103709	0.261111111111111	4480.25793728084	47473.2564645779	0.268888888888889	4454.02645803904	45151.8288640318	0.273333333333333	4479.6511678666	62766.9974242397	0.244444444444445
F1	4045.39729893684	200044.280433627	0.0619062711679928	4082.81974921936	200654.655756502	0.0629371701573939	4096.57536075356	199676.447755321	0.0623047930851208	4121.03928403028	210374.138506513	0.0640483314778847
HPT1	3979.55992465706	200007.712400736	0.0618722938922576	4019.50702659853	199924.087937989	0.0623434625352744	4045.39729893684	200044.280433627	0.0619062711679928	4082.81974921936	200654.655756502	0.0629371701573939
HPT2	3946.49307065172	211866.087605734	0.062211157662487	3979.55992465706	200007.712400736	0.0618722938922576	4019.50702659853	199924.087937989	0.0623434625352744	4045.39729893684	200044.280433627	0.0619062711679928
HPT3	3909.61739546402	204938.402122576	0.062960048545816	3946.49307065172	211866.087605734	0.062211157662487	3979.55992465706	200007.712400736	0.0618722938922576	4019.50702659853	199924.087937989	0.0623434625352744
HPT4	3872.56254877152	206204.558895946	0.0626115198943761	3909.61739546402	204938.402122576	0.062960048545816	3946.49307065172	211866.087605734	0.062211157662487	3979.55992465706	200007.712400736	0.0618722938922576
Parents	4074.22011096688	276201.427839983	0.065425	4107.73113984606	277236.730585881	0.066275	4128.13593966522	282770.311661925	0.064975	4157.01805539304	274964.900991834	0.064175
Seedlings	4019.50702659853	199924.087937989	0.0623434625352744	4045.39729893684	200044.280433627	0.0619062711679928	4082.81974921936	200654.655756502	0.0629371701573939	4096.57536075356	199676.447755321	0.0623047930851208
