year	rep	scenario	meanG	varG	accSel
1	1	Burn_in	2481.43086193649	197349.232012656	0.475337844874918
2	1	Burn_in	2617.46632948607	173001.263580534	0.46949882571252
3	1	Burn_in	2634.33085865679	287748.738737599	0.565197882913319
4	1	Burn_in	2777.10941578357	214948.199627222	0.415809693464571
5	1	Burn_in	3142.55119246002	254678.315019248	0.284151918765563
6	1	Burn_in	3048.03349105782	272397.752844978	0.478486198470356
7	1	Burn_in	3147.86749524967	272223.890702197	0.393615632003394
8	1	Burn_in	3051.37877224397	228670.337407329	0.640779111399646
9	1	Burn_in	3098.67586719706	355475.407680111	0.25691834235981
10	1	Burn_in	3065.27567314552	353408.540085094	0.575750501211212
11	1	Burn_in	3236.8759140078	220902.889451852	0.615058089638488
12	1	Burn_in	3056.9728442565	215341.962166331	0.193885948531894
13	1	Burn_in	3100.2458854953	259701.786611694	0.55905720569078
14	1	Burn_in	3043.05729282355	299786.365491611	0.510631869366888
15	1	Burn_in	3235.30532619494	363677.970404171	0.642828270301861
16	1	Burn_in	3245.08056696042	496878.896050066	0.401746444300402
17	1	Burn_in	3463.86948554302	509497.060679268	0.556536413784667
18	1	Burn_in	3567.85787930458	248812.385815904	0.48350319027288
19	1	Burn_in	3466.40916536284	372860.40536545	0.664674440608284
20	1	Burn_in	3729.76756139183	369437.186902348	0.65572195671622
21	1	Burn_in	3708.67076915977	307228.891375817	0.725651971828634
22	1	Burn_in	3592.08167685999	390672.016324639	0.579959934308477
23	1	Burn_in	3612.63168417743	320143.899041214	0.496957318314879
24	1	Burn_in	3891.60242140672	241965.217055688	0.596447022362695
25	1	Burn_in	3649.84249820975	374923.443396779	0.648681619903734
26	1	Burn_in	3927.92951640776	310566.224604339	0.524351442941179
27	1	Burn_in	3915.66144565727	295553.237458551	0.297400337716134
28	1	Burn_in	4169.83118108393	350850.327744978	0.57295777035515
29	1	Burn_in	4205.3086787829	221020.343141345	0.523230883284493
30	1	Burn_in	4435.21005045405	158371.711292976	0.629270600273446
31	1	Burn_in	4544.69070720052	178125.013753633	0.583936291444508
32	1	Burn_in	4560.86956189587	199103.606928093	0.414546746139466
33	1	Burn_in	4527.30017383986	109640.496896751	0.5947663343557
34	1	Burn_in	4496.07895790652	138003.743110389	0.498130286096855
35	1	Burn_in	4485.6052858589	131274.167981032	0.471704712168232
36	1	Burn_in	4579.67879642705	117646.247002811	0.495124391297581
37	1	Burn_in	4359.00839366733	135271.659304356	0.481401534968334
38	1	Burn_in	4490.25607679072	130270.534337428	0.373907473524866
39	1	Burn_in	4394.21805255323	139870.834227881	0.4234395662178
40	1	Burn_in	4494.32969048566	153153.40027418	0.420073686687537
41	1	Pheno	4658.13022593479	178258.295717007	0.380709580808524
42	1	Pheno	4607.47604397614	124911.14581439	0.425533217606072
43	1	Pheno	4704.54498445971	156787.826145568	0.438415334899541
44	1	Pheno	4779.61823964355	152911.954332052	0.418674361200849
45	1	Pheno	4823.55030155592	234933.238450003	0.32987997926269
46	1	Pheno	4963.03009147074	217734.941575466	0.393496370591462
47	1	Pheno	4658.85529295036	208236.37302364	0.400510817452988
48	1	Pheno	4630.15174572071	146288.363979547	0.562734584865019
49	1	Pheno	4653.94375370558	209086.068063569	0.518593915606414
50	1	Pheno	4753.20562818365	180826.577324226	0.458192473092937
51	1	Pheno	4748.39313123005	174847.898412552	0.42591258597901
52	1	Pheno	4709.58907917118	161483.269955669	0.418049203240297
53	1	Pheno	4870.5279949452	191601.755101201	0.440925234303168
54	1	Pheno	4924.88941399168	287745.200864048	0.548118614659698
55	1	Pheno	4890.83144632424	220772.304386799	0.420911696925778
56	1	Pheno	5215.69135274296	361610.153175629	0.556677033718287
57	1	Pheno	5090.0779255992	284585.220103379	0.43741990658954
58	1	Pheno	5123.14316691553	311366.713920281	0.189231706470876
59	1	Pheno	5065.11098465885	266611.191366924	0.609271683793407
60	1	Pheno	5363.15543895908	299151.428116686	0.577476396565893
61	1	Pheno	5214.61137728566	229406.499611742	0.318357847523575
62	1	Pheno	5238.46959005409	239878.230137263	0.543465423910913
63	1	Pheno	5153.7336275723	252703.390899734	0.730146741322004
64	1	Pheno	5292.57707518079	185139.603572883	0.555061417793297
65	1	Pheno	5276.59677820846	256472.84257839	0.358559909281063
66	1	Pheno	5387.66459287666	230142.948084099	0.11927798777856
67	1	Pheno	5411.46738800943	193554.543851013	0.55326327953205
68	1	Pheno	5462.04902514427	247908.674784934	0.553892536293306
69	1	Pheno	5563.43992535019	151238.895097307	0.532961119428147
70	1	Pheno	5503.99256224103	193091.724029526	0.562080643850325
71	1	Pheno	5563.58700103152	165042.532686904	0.513128797824503
72	1	Pheno	5457.10249552997	249938.367167933	0.500659320155692
73	1	Pheno	5645.99777757127	207930.276514069	0.354533630015396
74	1	Pheno	5496.45439977754	205047.805378229	0.553958779702349
75	1	Pheno	5681.97126343829	207001.711537617	0.502209592986496
76	1	Pheno	5550.29540949116	232448.881457982	0.39189005914668
77	1	Pheno	5626.49924197793	229488.374277511	0.317571363391813
78	1	Pheno	5709.76448881893	172346.263025854	0.327777004721031
79	1	Pheno	5680.0607802756	184821.351741787	0.529073168745981
80	1	Pheno	5856.31915945228	89200.8191799805	0.515519271568238
1	1	Burn_in	2481.43086193649	197349.232012656	0.475337844874918
2	1	Burn_in	2617.46632948607	173001.263580534	0.46949882571252
3	1	Burn_in	2634.33085865679	287748.738737599	0.565197882913319
4	1	Burn_in	2777.10941578357	214948.199627222	0.415809693464571
5	1	Burn_in	3142.55119246002	254678.315019248	0.284151918765563
6	1	Burn_in	3048.03349105782	272397.752844978	0.478486198470356
7	1	Burn_in	3147.86749524967	272223.890702197	0.393615632003394
8	1	Burn_in	3051.37877224397	228670.337407329	0.640779111399646
9	1	Burn_in	3098.67586719706	355475.407680111	0.25691834235981
10	1	Burn_in	3065.27567314552	353408.540085094	0.575750501211212
11	1	Burn_in	3236.8759140078	220902.889451852	0.615058089638488
12	1	Burn_in	3056.9728442565	215341.962166331	0.193885948531894
13	1	Burn_in	3100.2458854953	259701.786611694	0.55905720569078
14	1	Burn_in	3043.05729282355	299786.365491611	0.510631869366888
15	1	Burn_in	3235.30532619494	363677.970404171	0.642828270301861
16	1	Burn_in	3245.08056696042	496878.896050066	0.401746444300402
17	1	Burn_in	3463.86948554302	509497.060679268	0.556536413784667
18	1	Burn_in	3567.85787930458	248812.385815904	0.48350319027288
19	1	Burn_in	3466.40916536284	372860.40536545	0.664674440608284
20	1	Burn_in	3729.76756139183	369437.186902348	0.65572195671622
21	1	Burn_in	3708.67076915977	307228.891375817	0.725651971828634
22	1	Burn_in	3592.08167685999	390672.016324639	0.579959934308477
23	1	Burn_in	3612.63168417743	320143.899041214	0.496957318314879
24	1	Burn_in	3891.60242140672	241965.217055688	0.596447022362695
25	1	Burn_in	3649.84249820975	374923.443396779	0.648681619903734
26	1	Burn_in	3927.92951640776	310566.224604339	0.524351442941179
27	1	Burn_in	3915.66144565727	295553.237458551	0.297400337716134
28	1	Burn_in	4169.83118108393	350850.327744978	0.57295777035515
29	1	Burn_in	4205.3086787829	221020.343141345	0.523230883284493
30	1	Burn_in	4435.21005045405	158371.711292976	0.629270600273446
31	1	Burn_in	4544.69070720052	178125.013753633	0.583936291444508
32	1	Burn_in	4560.86956189587	199103.606928093	0.414546746139466
33	1	Burn_in	4527.30017383986	109640.496896751	0.5947663343557
34	1	Burn_in	4496.07895790652	138003.743110389	0.498130286096855
35	1	Burn_in	4485.6052858589	131274.167981032	0.471704712168232
36	1	Burn_in	4579.67879642705	117646.247002811	0.495124391297581
37	1	Burn_in	4359.00839366733	135271.659304356	0.481401534968334
38	1	Burn_in	4490.25607679072	130270.534337428	0.373907473524866
39	1	Burn_in	4394.21805255323	139870.834227881	0.4234395662178
40	1	Burn_in	4494.32969048566	153153.40027418	0.420073686687537
41	1	GS	4658.13022593479	178258.295717007	0.548150009742183
42	1	GS	4813.41549618274	168482.5375166	0.668015659468632
43	1	GS	4819.65921961619	139101.054414036	0.600786328468707
44	1	GS	4973.90905963421	144417.537764029	0.516068689340175
45	1	GS	5187.77308482127	83279.293695191	0.666894448529126
46	1	GS	5200.90093280538	102202.830752043	0.63123959558135
47	1	GS	5173.92430934333	92235.2157379574	0.739574305073348
48	1	GS	5226.87407255506	94169.6434443071	0.467710940030288
49	1	GS	5269.17029719002	68916.2686560665	0.541385313187469
50	1	GS	5248.27880373212	75395.6977037654	0.505165507909772
51	1	GS	5153.98282489283	64437.8004835555	0.567504664178376
52	1	GS	5351.36281824408	73843.8303840832	0.548511774933582
53	1	GS	5388.43988810205	114774.11932523	0.570409166022853
54	1	GS	5505.43245363357	90105.3793726422	0.595806543496167
55	1	GS	5640.79810945124	85086.1718207872	0.45109371211045
56	1	GS	5698.44487332486	79014.8449886823	0.44180373776393
57	1	GS	5739.72293647804	81311.148550891	0.636184478929729
58	1	GS	5799.60359837805	66108.9793569844	0.615691225992268
59	1	GS	5833.37072020012	77837.4361280943	0.345613900327552
60	1	GS	5786.30427258838	78056.0539490963	0.446152780748104
