year	rep	scenario	meanG	varG	accSel
1	1	Burn_in	2535.94729408834	90003.1222747312	0.45839219390485
2	1	Burn_in	2604.96139227157	113678.075004454	0.349106443892534
3	1	Burn_in	2708.7804895153	107076.248840996	0.373476535718509
4	1	Burn_in	2764.60288772737	170589.982356365	0.378257401653684
5	1	Burn_in	2864.25997467472	125517.333244962	0.399743998811443
6	1	Burn_in	2915.68247875985	161584.923785807	0.377633834304239
7	1	Burn_in	2997.8258722023	137612.69671912	0.358454027106139
8	1	Burn_in	2921.41941038745	136986.566478134	0.365459615313655
9	1	Burn_in	2870.16077999332	186736.145600888	0.46586023709359
10	1	Burn_in	3107.28105808806	146745.609380561	0.45648041543404
11	1	Burn_in	2944.28812419229	103733.074392169	0.3714260568045
12	1	Burn_in	3034.50687372492	96773.7688976812	0.47424313944347
13	1	Burn_in	2997.29330581083	125943.756848123	0.320801176667282
14	1	Burn_in	2894.25557824099	129843.289955096	0.191167118938449
15	1	Burn_in	2962.39388400222	105017.89295453	0.456957012523177
16	1	Burn_in	2998.23434102677	134575.35309972	0.461877820690161
17	1	Burn_in	3038.65351808221	163494.072625752	0.429224055725267
18	1	Burn_in	3099.84095657658	173634.258421436	0.286348082920977
19	1	Burn_in	3013.57787184596	155480.776392189	0.303613662756597
20	1	Burn_in	3016.41196520811	176668.988153571	0.359074207811832
21	1	Burn_in	3095.09821752364	134743.939146309	0.35870447529891
22	1	Burn_in	3105.04983761322	153027.964820215	0.37745219870401
23	1	Burn_in	3115.4833532324	104018.541530486	0.428934598724308
24	1	Burn_in	3199.57604590546	96869.0879042804	0.30561686908758
25	1	Burn_in	3126.2331683564	125758.778646782	0.452727444647046
26	1	Burn_in	3151.2255016648	153402.023919937	0.393955604040404
27	1	Burn_in	3227.95817969678	101681.878581108	0.11711644688318
28	1	Burn_in	3127.22561226625	132731.121564591	0.391324793047899
29	1	Burn_in	3125.29412666287	66455.0079438068	0.293334783518537
30	1	Burn_in	3052.44659030418	131353.075183758	0.426729051688661
31	1	Burn_in	3060.38671425369	139915.638256268	0.503203777389358
32	1	Burn_in	3117.74170595761	117092.859519216	0.345150714551991
33	1	Burn_in	3209.99495279565	190484.209764204	0.469073662046838
34	1	Burn_in	3248.18074975081	127305.4191061	0.252744132461681
35	1	Burn_in	3375.84951348068	106052.356921445	0.434038108254297
36	1	Burn_in	3260.24795220727	193617.956339366	0.40491934078719
37	1	Burn_in	3250.64810435948	107053.946410167	0.24048737366949
38	1	Burn_in	3309.35816595701	162448.507538017	0.546964988709605
39	1	Burn_in	3340.24838865949	158700.347546804	0.426842255922653
40	1	Burn_in	3421.17308945094	162151.89326569	0.158090401372602
41	1	Pheno	3289.09779953008	156789.412596315	0.525102640008088
42	1	Pheno	3344.46014588308	159182.708706999	0.43897884180241
43	1	Pheno	3441.67814095526	97135.3436624441	-0.156015456930788
44	1	Pheno	3425.17568494393	201208.933941455	0.22429897996274
45	1	Pheno	3444.42172082411	178408.21632228	0.467424353136076
46	1	Pheno	3444.01410130581	128771.158634372	0.524743626019398
47	1	Pheno	3479.85918233266	137836.655657557	0.435697875965265
48	1	Pheno	3448.10428381229	129312.068462998	0.339817816995667
49	1	Pheno	3483.87991254306	108001.778867999	0.514170903786215
50	1	Pheno	3586.02919195746	201140.015216986	0.653411889990293
51	1	Pheno	3539.21170180379	176135.865290179	0.392169132477233
52	1	Pheno	3644.49541219323	143348.747491738	0.146305048786771
53	1	Pheno	3591.96454528672	192421.039605173	0.493520998572514
54	1	Pheno	3628.81331654777	155480.305598716	0.415484514651559
55	1	Pheno	3606.97870305278	191347.72660013	-0.172244871811028
56	1	Pheno	3704.29510757769	135980.104176153	0.60512646069604
57	1	Pheno	3648.63177287284	140766.561638702	0.285053670146826
58	1	Pheno	3651.08611186411	201843.232495716	0.448472361563713
59	1	Pheno	3470.56494750144	178406.714944998	0.42227285165439
